name,logo,box,content,cta,link,color,extraLogo,extraContent,color:
Monarchy,../images/businesses/monarchy-logo.png,../images/businesses/monarchy-box.png,"The Creative, Marketing and Strategy Engine of the group. Monarchy's team oversees the gorwth of our brands, helping our CEOs achieve breakthroughs in business models.",Visit Monarchy,https://monarchy.io,white,,,
Serendipity,../images/businesses/serendipity-logo.png,../images/businesses/serendipity-box.png,"Our film production company launching its new series ""Women of the Movement"" on ABC January 2022. Read more about it <a class=""content-link"" href=""https://deadline.com/2020/08/abc-women-of-the-movement-limited-series-marissa-jo-cerar-jay-z-will-smith-kapital-gina-prince-bythewood-direct-1203025965/"">here on Deadline.</a>",Visit Serendipity,https://srndpt.com/,white,../images/businesses/abc-logo.png,airing january 22 on,
Tenute di Donna,../images/businesses/didonna-logo.png,../images/businesses/didonna-box.png,"Wine is an art and ours is true poetry. Tenute Di Donna will bring you the intense flavor of the Primitivo di Puglia (Italy), one of the best wines in the world. A wine intense, romantic, passionate and in love. An experience in itself.",Learn More,http://www.tenutedidonna.it/index.php,white,,airing january 22 on,
AdyProduction,../images/businesses/adyproduction-logo.png,../images/businesses/adyproduction-box.png,"Scaling businesses quickly to 7 figures and beyond. Our proven approach helps CEOs and Executive teams grow their businesses quickly and steadly. See if you qualify to enter our acceleration group, get a quote.",Get a Quote,https://adyproduction.com/,white,,,
DMZ,../images/businesses/dmz-logo.png,../images/businesses/dmz-box.png,"Our top level accounting, financial and tax management team located in Italy. With over 600 Customers, we have one of the most effective professional teams on the market. If you are located in Italy- our group is the best team to connect with us. Contact us and we can help you.",Get a Quote,https://studiodmz.it/,,,,black
Viva Concepts,../images/businesses/viva-logo.png,../images/businesses/viva-box.png,"Viva Concepts is the top referral marketing firm in the US for Dental Practices. Our technology and program helps dental offices add $500,000 to $1,000,000 in 12 months or less. Are you a dental practice? You need to get in touch with us.",Get in Touch,https://www.majidtabs.com/,black,,,
Sales Jet,../images/businesses/sj-logo.png,../images/businesses/sj-box.png,"We needed the most effective marketing tools to run our campaigns and projects, so we built one. Sales Jet is built by entrepreneurs for entrepreneurs. Want to learn more on how to use our marketing platform? Visit our website now.",Explore Sales Jet,https://salesjet.io/,white,,,
Body Contourz,../images/businesses/bc-logo.png,../images/businesses/bc-box.png,"Introducing the most effective and state-of-the-art weight loss technology and program. We just launched our franchising with two centers in Los Angeles, one center in Atlanta, and one in Tampa (opening soon). We guarantee you will lose 2 inches in your first session, or your money back.",Visit Body Contourz,https://bodycontourz.com/,black,,,
Upliffs,../images/businesses/upliffs-logo.png,../images/businesses/upliffs-box.png,"Our fitness and lifestyle brand, because you need to have fun as well. I love this brand as my wife launched out of a whim during the pandemic. She couldn't find good home fitness equipment, so she decided to build a company around it.",Visit Upliffs,https://upliffs.com/,black,,,
ANDA,../images/businesses/anda-logo.png,../images/businesses/anda-box.png,"Started during the pandemic to support entrepreneurs, our Facebook Show reached thousands of entrepreneurs. We interviewed 127 top business owners and CEOs. New season launching soon.",Visit ANDA,https://andaliveshow.com/,white,,,
